
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP1234, semester = WINTER | Request state: Successful | Server response: The student COMPS3355 is registered for the course COMP1234
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS332, courseID = COMP883, semester = WINTER | Request state: Successful | Server response: The student COMPS332 is registered for the course COMP883
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3445, courseID = COMP883, semester = WINTER | Request state: Successful | Server response: The student COMPS3445 is registered for the course COMP883
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3245, courseID = COMP883, semester = WINTER | Request state: Failed | Server response: The course COMP883 has no room left
Logged request date: 10/12/2018 18:18 | Request type: Get class schedule (student) | Request parameter: studentID = COMPS3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is COMP883, semester is WINTER and course is COMP1234, 
Logged request date: 10/12/2018 18:18 | Request type: Drop a course (student) | Request parameter: studentID = COMPS3245, courseID = COMP883 | Request state: Failed | Server response: The student with ID COMPS3245 did not have a course COMP883 that could be dropped.
Logged request date: 10/12/2018 18:18 | Request type: Drop a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP883 | Request state: Successful | Server response: The student with ID COMPS3355 has been dropped from the course COMP883
Logged request date: 10/12/2018 18:18 | Request type: Drop a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP883 | Request state: Failed | Server response: The student with ID COMPS3355 did not have a course COMP883 that could be dropped.
Logged request date: 10/12/2018 18:18 | Request type: Get class schedule (student) | Request parameter: studentID = COMPS3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is COMP1234, 
Logged request date: 10/12/2018 18:18 | Request type: Delete a course (advisor) | Request parameter: semester = WINTER, courseID = COMP883, semester = WINTER | Request state: Successful | Server response: A course COMP883 has been deleted for WINTER semester and the students have been dropped from the course
Logged request date: 10/12/2018 18:18 | Request type: Delete a course (advisor) | Request parameter: semester = WINTER, courseID = COMP883, semester = WINTER | Request state: Failed | Server response: A course COMP883 does not exists for WINTER semester
Logged request date: 10/12/2018 18:18 | Request type: Get class schedule (student) | Request parameter: studentID = COMPS3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is COMP1234, 
Logged request date: 10/12/2018 18:18 | Request type: List course availability (advisor) | Request parameter: semester = WINTER | Request state: Successful | Server response: {SOEN349={Capacity={TotalCapacity=3, Registered=1}, RegisteredStudents={SOENS1234=Kurosh Farsimadan}, Information={Details=This is testing material}}, SOEN1234={Capacity={TotalCapacity=3, Registered=2}, RegisteredStudents={SOENS1233=NoName, SOENS1234=Kurosh Farsimadan}, Information={Details=This is testing material}}}{INSE349={Capacity={TotalCapacity=3, Registered=1}, RegisteredStudents={INSES1234=Kurosh Farsimadan}, Information={Details=This is testing material}}, INSE1234={Capacity={TotalCapacity=3, Registered=1}, RegisteredStudents={INSES1234=Kurosh Farsimadan}, Information={Details=This is testing material}}}{COMP349={Capacity={TotalCapacity=3, Registered=1}, RegisteredStudents={COMPS1234=Kurosh Farsimadan}, Information={Details=This is testing material}}, COMP1234={Capacity={TotalCapacity=3, Registered=3}, RegisteredStudents={COMPS1234=Kurosh Farsimadan, COMPS3355=NoName, COMPS3322=NoName}, Information={Details=This is testing material}}}
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP1234, semester = WINTER | Request state: Successful | Server response: The student COMPS3355 is registered for the course COMP1234
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP1234, semester = WINTER | Request state: Failed | Server response: The student COMPS3355 is already registered for the course COMP1234
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP1234, semester = WINTER | Request state: Failed | Server response: The student COMPS3355 is already registered for the course COMP1234
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP1234, semester = WINTER | Request state: Failed | Server response: The student COMPS3355 is already registered for the course COMP1234
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3322, courseID = COMP1234, semester = WINTER | Request state: Successful | Server response: The student COMPS3322 is registered for the course COMP1234
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS32322, courseID = COMP1234, semester = WINTER | Request state: Failed | Server response: The course COMP1234 has no room left
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS2255, courseID = COMP1234, semester = FALL | Request state: Failed | Server response: Course  COMP1234  not found in the database
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP123444, semester = WINTER | Request state: Failed | Server response: Course  COMP123444  not found in the database
Logged request date: 10/15/2018 22:53 | Request type: Add a course (advisor) | Request parameter: semester = WINTER, courseID = COMP883, semester = WINTER | Request state: Successful | Server response: A new course COMP883 has been added for WINTER semester
Logged request date: 10/15/2018 22:53 | Request type: Add a course (advisor) | Request parameter: semester = WINTER, courseID = COMP883, semester = WINTER | Request state: Failed | Server response: A course COMP883 already exists for WINTER semester
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP883, semester = WINTER | Request state: Successful | Server response: The student COMPS3355 is registered for the course COMP883
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS332, courseID = COMP883, semester = WINTER | Request state: Failed | Server response: The course COMP883 has no room left
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3445, courseID = COMP883, semester = WINTER | Request state: Failed | Server response: The course COMP883 has no room left
Logged request date: 10/15/2018 22:53 | Request type: Enrol to a course (student) | Request parameter: studentID = COMPS3245, courseID = COMP883, semester = WINTER | Request state: Failed | Server response: The course COMP883 has no room left
Logged request date: 10/15/2018 22:53 | Request type: Get class schedule (student) | Request parameter: studentID = COMPS3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is COMP883, semester is WINTER and course is COMP1234, 
Logged request date: 10/15/2018 22:53 | Request type: Drop a course (student) | Request parameter: studentID = COMPS3245, courseID = COMP883 | Request state: Failed | Server response: The student with ID COMPS3245 did not have a course COMP883 that could be dropped.
Logged request date: 10/15/2018 22:53 | Request type: Drop a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP883 | Request state: Successful | Server response: The student with ID COMPS3355 has been dropped from the course COMP883
Logged request date: 10/15/2018 22:53 | Request type: Drop a course (student) | Request parameter: studentID = COMPS3355, courseID = COMP883 | Request state: Failed | Server response: The student with ID COMPS3355 did not have a course COMP883 that could be dropped.
Logged request date: 10/15/2018 22:53 | Request type: Get class schedule (student) | Request parameter: studentID = COMPS3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is COMP1234, 
Logged request date: 10/15/2018 22:53 | Request type: Delete a course (advisor) | Request parameter: semester = WINTER, courseID = COMP883, semester = WINTER | Request state: Successful | Server response: A course COMP883 has been deleted for WINTER semester and the students have been dropped from the course
Logged request date: 10/15/2018 22:53 | Request type: Delete a course (advisor) | Request parameter: semester = WINTER, courseID = COMP883, semester = WINTER | Request state: Failed | Server response: A course COMP883 does not exists for WINTER semester
Logged request date: 10/15/2018 22:53 | Request type: Get class schedule (student) | Request parameter: studentID = COMPS3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is COMP1234, 
